,price_in,time_in,type,price_out,time_out,stocks,open,profit
LXCHEM,239.25,2021-07-02 03:45:07,short,246.7,2021-07-02 04:10:24,LXCHEM,237.89999389648438,-3.019862180786376
REDINGTON,295.6,2021-07-02 03:45:13,short,304.0,2021-07-02 05:45:02,REDINGTON,291.0,-2.763157894736835
GLOBUSSPR,740.0,2021-07-02 03:45:17,short,715.0,2021-07-02 04:56:52,GLOBUSSPR,736.0,3.4965034965034967
HAPPSTMNDS,1202.8,2021-07-02 03:45:17,short,1200.1,2021-07-02 05:45:02,HAPPSTMNDS,1183.9000244140625,0.22498125156237359
