,price_in,time_in,type,price_out,time_out,stocks,open,profit,
JYOTHYLAB,172.7,05/07/2021 03:45,short,176.6,05/07/2021 05:08,JYOTHYLAB,172,-2.208380521,0
DVL,250.15,05/07/2021 03:45,short,256.65,05/07/2021 03:48,DVL,250.0500031,-2.532631989,0
KNRCON,245.05,05/07/2021 03:45,short,251.5,05/07/2021 03:53,KNRCON,244.0500031,-2.564612326,0
MMP,126.5,05/07/2021 03:45,short,123.2,05/07/2021 03:52,MMP,127,2.678571429,1
KOKUYOCMLN,77.4,05/07/2021 03:45,short,78.8,05/07/2021 04:14,KOKUYOCMLN,76.94999695,-1.776649746,0
MAWANASUG,87.75,05/07/2021 03:45,short,87.75,05/07/2021 05:45,MAWANASUG,87.75,0,0
HINDNATGLS,49.75,05/07/2021 03:45,short,49.5,05/07/2021 05:45,HINDNATGLS,49.75,0.505050505,1
MOLDTECH,77.5,05/07/2021 03:45,short,75.8,05/07/2021 03:46,MOLDTECH,76.94999695,2.242744063,1
SARDAEN,654,05/07/2021 03:45,short,662,05/07/2021 05:45,SARDAEN,642,-1.208459215,0
DBCORP,103.75,05/07/2021 03:45,short,109.05,05/07/2021 03:54,DBCORP,102.5500031,-4.860155892,0
TRF,134.85,05/07/2021 03:45,long,141.9,05/07/2021 05:00,TRF,134.8500061,5.228031146,1
MINDTECK,74,05/07/2021 03:45,short,72.05,05/07/2021 04:48,MINDTECK,74,2.706453851,1
SPAL,232,05/07/2021 03:45,short,230.2,05/07/2021 05:45,SPAL,233,0.781928758,1
ASIANHOTNR,94.2,05/07/2021 03:45,short,89.5,05/07/2021 03:47,ASIANHOTNR,88.80000305,5.251396648,1
CUPID,253.9,05/07/2021 03:45,short,249.85,05/07/2021 05:45,CUPID,252,1.620972584,1
HPL,75.15,05/07/2021 03:45,short,76.55,05/07/2021 05:45,HPL,75.25,-1.82887002,0
VERTOZ,169.6,05/07/2021 03:45,long,166.75,05/07/2021 04:17,VERTOZ,171.6499939,-1.680424528,0
SASTASUNDR,318.75,05/07/2021 03:45,short,310,05/07/2021 04:31,SASTASUNDR,317,2.822580645,1
RAMKY,198.9,05/07/2021 03:45,short,200.2,05/07/2021 05:45,RAMKY,199.1999969,-0.649350649,0
GALLISPAT,56.5,05/07/2021 03:45,short,56.35,05/07/2021 05:45,GALLISPAT,56.40000153,0.266193434,1
CLEDUCATE,116.9,05/07/2021 03:45,short,117.95,05/07/2021 03:46,CLEDUCATE,117.9499969,-0.890207715,0
IOLCP,660.7,05/07/2021 03:45,short,673.35,05/07/2021 04:04,IOLCP,657.75,-1.87866637,0
NACLIND,77.55,05/07/2021 03:45,short,76.4,05/07/2021 05:45,NACLIND,77.05000305,1.505235602,1
STEELXIND,72.5,05/07/2021 03:45,long,74.2,05/07/2021 03:51,STEELXIND,74.80000305,2.344827586,1
MAGADSUGAR,382.5,05/07/2021 03:45,short,372.15,05/07/2021 03:55,MAGADSUGAR,379.8999939,2.781136638,1
STEL,115.95,05/07/2021 03:45,short,115.15,05/07/2021 05:45,STEL,113.5500031,0.694745983,1
HFCL,74.65,05/07/2021 03:45,short,76.7,05/07/2021 03:49,HFCL,74,-2.672750978,0
WORTH,83,05/07/2021 03:45,short,81.05,05/07/2021 03:48,WORTH,83,2.40592227,1
MACPOWER,164.7,05/07/2021 03:45,short,160,05/07/2021 03:52,MACPOWER,164.6999969,2.9375,1
ESTER,136.05,05/07/2021 03:45,short,135.4,05/07/2021 05:45,ESTER,135,0.480059084,1
RUPA,506,05/07/2021 03:45,short,496.6,05/07/2021 04:51,RUPA,501.1499939,1.892871526,1
MINDACORP,129,05/07/2021 03:45,short,130.05,05/07/2021 05:45,MINDACORP,129.3000031,-0.807381776,0
ROSSELLIND,158.1,05/07/2021 03:45,short,158.5,05/07/2021 05:45,ROSSELLIND,156.6499939,-0.252365931,0
ZUARI,133.85,05/07/2021 03:45,short,137,05/07/2021 03:56,ZUARI,141.1999969,-2.299270073,0
GLOBUSSPR,769.4,05/07/2021 03:45,short,749.25,05/07/2021 03:46,GLOBUSSPR,736,2.689356023,1
,,,,,,,,,51
