,price_in,time_in,type,price_out,time_out
COROMANDEL,914.05,2021-07-01 17:47:57,long,914.05,2021-07-01 17:48:02
VRLLOG,289.0,2021-07-01 17:47:57,long,289.0,2021-07-01 17:48:03
