,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
49,42124,BANKNIFTY13OCT2245000PE,BANKNIFTY,13OCT2022,4500000.000000,25,OPTIDX,NFO,5.000000
50,35132,BANKNIFTY06OCT2231500CE,BANKNIFTY,06OCT2022,3150000.000000,25,OPTIDX,NFO,5.000000
51,52159,BANKNIFTY27OCT2242700CE,BANKNIFTY,27OCT2022,4270000.000000,25,OPTIDX,NFO,5.000000
52,37674,BANKNIFTY29SEP2237600PE,BANKNIFTY,29SEP2022,3760000.000000,25,OPTIDX,NFO,5.000000
53,60503,BANKNIFTY24NOV2236900PE,BANKNIFTY,24NOV2022,3690000.000000,25,OPTIDX,NFO,5.000000
54,56160,BANKNIFTY29SEP2231800CE,BANKNIFTY,29SEP2022,3180000.000000,25,OPTIDX,NFO,5.000000
55,37485,BANKNIFTY06OCT2244000PE,BANKNIFTY,06OCT2022,4400000.000000,25,OPTIDX,NFO,5.000000
56,36504,BANKNIFTY29SEP2243300CE,BANKNIFTY,29SEP2022,4330000.000000,25,OPTIDX,NFO,5.000000
57,56260,BANKNIFTY29SEP2237100CE,BANKNIFTY,29SEP2022,3710000.000000,25,OPTIDX,NFO,5.000000
58,57090,BANKNIFTY27OCT2236200PE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
59,37459,BANKNIFTY06OCT2243000CE,BANKNIFTY,06OCT2022,4300000.000000,25,OPTIDX,NFO,5.000000
60,53091,BANKNIFTY30MAR2325500PE,BANKNIFTY,30MAR2023,2550000.000000,25,OPTIDX,NFO,5.000000
61,60716,BANKNIFTY24NOV2241200CE,BANKNIFTY,24NOV2022,4120000.000000,25,OPTIDX,NFO,5.000000
62,56278,BANKNIFTY29SEP2241500CE,BANKNIFTY,29SEP2022,4150000.000000,25,OPTIDX,NFO,5.000000
63,60811,BANKNIFTY24NOV2242800PE,BANKNIFTY,24NOV2022,4280000.000000,25,OPTIDX,NFO,5.000000
64,56170,BANKNIFTY29SEP2232300CE,BANKNIFTY,29SEP2022,3230000.000000,25,OPTIDX,NFO,5.000000
65,57217,BANKNIFTY27OCT2241500CE,BANKNIFTY,27OCT2022,4150000.000000,25,OPTIDX,NFO,5.000000
66,57180,BANKNIFTY27OCT2239600PE,BANKNIFTY,27OCT2022,3960000.000000,25,OPTIDX,NFO,5.000000
67,57074,BANKNIFTY27OCT2235400PE,BANKNIFTY,27OCT2022,3540000.000000,25,OPTIDX,NFO,5.000000
68,41027,BANKNIFTY22SEP2230500CE,BANKNIFTY,22SEP2022,3050000.000000,25,OPTIDX,NFO,5.000000
69,53670,BANKNIFTY20OCT2238500PE,BANKNIFTY,20OCT2022,3850000.000000,25,OPTIDX,NFO,5.000000
70,37316,BANKNIFTY06OCT2238800PE,BANKNIFTY,06OCT2022,3880000.000000,25,OPTIDX,NFO,5.000000
71,44508,BANKNIFTY27OCT2243100CE,BANKNIFTY,27OCT2022,4310000.000000,25,OPTIDX,NFO,5.000000
72,37465,BANKNIFTY06OCT2243200PE,BANKNIFTY,06OCT2022,4320000.000000,25,OPTIDX,NFO,5.000000
73,56233,BANKNIFTY29SEP2235600PE,BANKNIFTY,29SEP2022,3560000.000000,25,OPTIDX,NFO,5.000000
74,60469,BANKNIFTY24NOV2235800CE,BANKNIFTY,24NOV2022,3580000.000000,25,OPTIDX,NFO,5.000000
75,37430,BANKNIFTY06OCT2242000PE,BANKNIFTY,06OCT2022,4200000.000000,25,OPTIDX,NFO,5.000000
76,59053,BANKNIFTY22SEP2241100PE,BANKNIFTY,22SEP2022,4110000.000000,25,OPTIDX,NFO,5.000000
77,36527,BANKNIFTY06OCT2235500CE,BANKNIFTY,06OCT2022,3550000.000000,25,OPTIDX,NFO,5.000000
78,56181,BANKNIFTY29SEP2232800PE,BANKNIFTY,29SEP2022,3280000.000000,25,OPTIDX,NFO,5.000000
79,37335,BANKNIFTY06OCT2239600PE,BANKNIFTY,06OCT2022,3960000.000000,25,OPTIDX,NFO,5.000000
80,57076,BANKNIFTY27OCT2235500PE,BANKNIFTY,27OCT2022,3550000.000000,25,OPTIDX,NFO,5.000000
81,60559,BANKNIFTY24NOV2237900PE,BANKNIFTY,24NOV2022,3790000.000000,25,OPTIDX,NFO,5.000000
82,53853,BANKNIFTY20OCT2239900CE,BANKNIFTY,20OCT2022,3990000.000000,25,OPTIDX,NFO,5.000000
83,58885,BANKNIFTY22SEP2236900PE,BANKNIFTY,22SEP2022,3690000.000000,25,OPTIDX,NFO,5.000000
84,52144,BANKNIFTY27OCT2242400PE,BANKNIFTY,27OCT2022,4240000.000000,25,OPTIDX,NFO,5.000000
85,72216,BANKNIFTY29SEP2234500CE,BANKNIFTY,29SEP2022,3450000.000000,25,OPTIDX,NFO,5.000000
86,57162,BANKNIFTY27OCT2238700PE,BANKNIFTY,27OCT2022,3870000.000000,25,OPTIDX,NFO,5.000000
87,60553,BANKNIFTY24NOV2237700CE,BANKNIFTY,24NOV2022,3770000.000000,25,OPTIDX,NFO,5.000000
88,53880,BANKNIFTY20OCT2240100CE,BANKNIFTY,20OCT2022,4010000.000000,25,OPTIDX,NFO,5.000000
89,46387,BANKNIFTY20OCT2231500PE,BANKNIFTY,20OCT2022,3150000.000000,25,OPTIDX,NFO,5.000000
90,60663,BANKNIFTY24NOV2240000CE,BANKNIFTY,24NOV2022,4000000.000000,25,OPTIDX,NFO,5.000000
91,58942,BANKNIFTY22SEP2239700CE,BANKNIFTY,22SEP2022,3970000.000000,25,OPTIDX,NFO,5.000000
92,54272,BANKNIFTY22SEP2236600PE,BANKNIFTY,22SEP2022,3660000.000000,25,OPTIDX,NFO,5.000000
93,59068,BANKNIFTY22SEP2241900CE,BANKNIFTY,22SEP2022,4190000.000000,25,OPTIDX,NFO,5.000000
94,54022,BANKNIFTY20OCT2241800PE,BANKNIFTY,20OCT2022,4180000.000000,25,OPTIDX,NFO,5.000000
95,56202,BANKNIFTY29SEP2234000CE,BANKNIFTY,29SEP2022,3400000.000000,25,OPTIDX,NFO,5.000000
96,56171,BANKNIFTY29SEP2232300PE,BANKNIFTY,29SEP2022,3230000.000000,25,OPTIDX,NFO,5.000000
97,57218,BANKNIFTY27OCT2241500PE,BANKNIFTY,27OCT2022,4150000.000000,25,OPTIDX,NFO,5.000000
98,57005,BANKNIFTY29SEP2241400CE,BANKNIFTY,29SEP2022,4140000.000000,25,OPTIDX,NFO,5.000000
99,60549,BANKNIFTY24NOV2237600CE,BANKNIFTY,24NOV2022,3760000.000000,25,OPTIDX,NFO,5.000000
100,59052,BANKNIFTY22SEP2241100CE,BANKNIFTY,22SEP2022,4110000.000000,25,OPTIDX,NFO,5.000000
101,72215,BANKNIFTY29SEP2233000PE,BANKNIFTY,29SEP2022,3300000.000000,25,OPTIDX,NFO,5.000000
102,60659,BANKNIFTY24NOV2239800CE,BANKNIFTY,24NOV2022,3980000.000000,25,OPTIDX,NFO,5.000000
103,54056,BANKNIFTY20OCT2243100PE,BANKNIFTY,20OCT2022,4310000.000000,25,OPTIDX,NFO,5.000000
104,54048,BANKNIFTY20OCT2242700PE,BANKNIFTY,20OCT2022,4270000.000000,25,OPTIDX,NFO,5.000000
105,57209,BANKNIFTY27OCT2241100CE,BANKNIFTY,27OCT2022,4110000.000000,25,OPTIDX,NFO,5.000000
106,37137,BANKNIFTY06OCT2237100PE,BANKNIFTY,06OCT2022,3710000.000000,25,OPTIDX,NFO,5.000000
107,58931,BANKNIFTY22SEP2239100PE,BANKNIFTY,22SEP2022,3910000.000000,25,OPTIDX,NFO,5.000000
108,60642,BANKNIFTY24NOV2239300PE,BANKNIFTY,24NOV2022,3930000.000000,25,OPTIDX,NFO,5.000000
109,57294,BANKNIFTY24NOV2230500CE,BANKNIFTY,24NOV2022,3050000.000000,25,OPTIDX,NFO,5.000000
110,37680,BANKNIFTY29SEP2237900CE,BANKNIFTY,29SEP2022,3790000.000000,25,OPTIDX,NFO,5.000000
111,57020,BANKNIFTY27OCT2230000PE,BANKNIFTY,27OCT2022,3000000.000000,25,OPTIDX,NFO,5.000000
112,60558,BANKNIFTY24NOV2237900CE,BANKNIFTY,24NOV2022,3790000.000000,25,OPTIDX,NFO,5.000000
113,60777,BANKNIFTY24NOV2242300PE,BANKNIFTY,24NOV2022,4230000.000000,25,OPTIDX,NFO,5.000000
114,53886,BANKNIFTY20OCT2240200CE,BANKNIFTY,20OCT2022,4020000.000000,25,OPTIDX,NFO,5.000000
115,40362,BANKNIFTY13OCT2242300PE,BANKNIFTY,13OCT2022,4230000.000000,25,OPTIDX,NFO,5.000000
116,58420,BANKNIFTY29DEC2242000CE,BANKNIFTY,29DEC2022,4200000.000000,25,OPTIDX,NFO,5.000000
117,42665,BANKNIFTY13OCT2246500CE,BANKNIFTY,13OCT2022,4650000.000000,25,OPTIDX,NFO,5.000000
118,56162,BANKNIFTY29SEP2231900CE,BANKNIFTY,29SEP2022,3190000.000000,25,OPTIDX,NFO,5.000000
119,37445,BANKNIFTY06OCT2242400CE,BANKNIFTY,06OCT2022,4240000.000000,25,OPTIDX,NFO,5.000000
120,52104,BANKNIFTY29SEP2242800CE,BANKNIFTY,29SEP2022,4280000.000000,25,OPTIDX,NFO,5.000000
121,52178,BANKNIFTY27OCT2242900CE,BANKNIFTY,27OCT2022,4290000.000000,25,OPTIDX,NFO,5.000000
122,53913,BANKNIFTY20OCT2240700CE,BANKNIFTY,20OCT2022,4070000.000000,25,OPTIDX,NFO,5.000000
123,56223,BANKNIFTY29SEP2235100PE,BANKNIFTY,29SEP2022,3510000.000000,25,OPTIDX,NFO,5.000000
124,40251,BANKNIFTY13OCT2241100CE,BANKNIFTY,13OCT2022,4110000.000000,25,OPTIDX,NFO,5.000000
125,39817,BANKNIFTY13OCT2231000PE,BANKNIFTY,13OCT2022,3100000.000000,25,OPTIDX,NFO,5.000000
126,57151,BANKNIFTY27OCT2238200CE,BANKNIFTY,27OCT2022,3820000.000000,25,OPTIDX,NFO,5.000000
127,57099,BANKNIFTY27OCT2236700CE,BANKNIFTY,27OCT2022,3670000.000000,25,OPTIDX,NFO,5.000000
128,37390,BANKNIFTY06OCT2241000PE,BANKNIFTY,06OCT2022,4100000.000000,25,OPTIDX,NFO,5.000000
129,56146,BANKNIFTY29SEP2231000CE,BANKNIFTY,29SEP2022,3100000.000000,25,OPTIDX,NFO,5.000000
130,57232,BANKNIFTY27OCT2245000PE,BANKNIFTY,27OCT2022,4500000.000000,25,OPTIDX,NFO,5.000000
131,37379,BANKNIFTY06OCT2240800CE,BANKNIFTY,06OCT2022,4080000.000000,25,OPTIDX,NFO,5.000000
132,35346,BANKNIFTY30MAR2345000CE,BANKNIFTY,30MAR2023,4500000.000000,25,OPTIDX,NFO,5.000000
133,57183,BANKNIFTY27OCT2239800CE,BANKNIFTY,27OCT2022,3980000.000000,25,OPTIDX,NFO,5.000000
134,54072,BANKNIFTY20OCT2243800CE,BANKNIFTY,20OCT2022,4380000.000000,25,OPTIDX,NFO,5.000000
135,57150,BANKNIFTY27OCT2238100PE,BANKNIFTY,27OCT2022,3810000.000000,25,OPTIDX,NFO,5.000000
136,60640,BANKNIFTY24NOV2239200PE,BANKNIFTY,24NOV2022,3920000.000000,25,OPTIDX,NFO,5.000000
137,40258,BANKNIFTY13OCT2241100PE,BANKNIFTY,13OCT2022,4110000.000000,25,OPTIDX,NFO,5.000000
138,58882,BANKNIFTY22SEP2236800CE,BANKNIFTY,22SEP2022,3680000.000000,25,OPTIDX,NFO,5.000000
139,60478,BANKNIFTY24NOV2236100PE,BANKNIFTY,24NOV2022,3610000.000000,25,OPTIDX,NFO,5.000000
140,57049,BANKNIFTY27OCT2234200CE,BANKNIFTY,27OCT2022,3420000.000000,25,OPTIDX,NFO,5.000000
141,59073,BANKNIFTY22SEP2242100PE,BANKNIFTY,22SEP2022,4210000.000000,25,OPTIDX,NFO,5.000000
142,54083,BANKNIFTY20OCT2244200CE,BANKNIFTY,20OCT2022,4420000.000000,25,OPTIDX,NFO,5.000000
143,40903,BANKNIFTY30MAR2327000PE,BANKNIFTY,30MAR2023,2700000.000000,25,OPTIDX,NFO,5.000000
144,57044,BANKNIFTY27OCT2233900PE,BANKNIFTY,27OCT2022,3390000.000000,25,OPTIDX,NFO,5.000000
145,60715,BANKNIFTY24NOV2241100PE,BANKNIFTY,24NOV2022,4110000.000000,25,OPTIDX,NFO,5.000000
146,53478,BANKNIFTY20OCT2238100CE,BANKNIFTY,20OCT2022,3810000.000000,25,OPTIDX,NFO,5.000000
147,54002,BANKNIFTY20OCT2241400PE,BANKNIFTY,20OCT2022,4140000.000000,25,OPTIDX,NFO,5.000000
148,37428,BANKNIFTY29SEP2243500CE,BANKNIFTY,29SEP2022,4350000.000000,25,OPTIDX,NFO,5.000000
149,48773,BANKNIFTY27OCT2242200PE,BANKNIFTY,27OCT2022,4220000.000000,25,OPTIDX,NFO,5.000000
150,40053,BANKNIFTY13OCT2238500CE,BANKNIFTY,13OCT2022,3850000.000000,25,OPTIDX,NFO,5.000000
151,53859,BANKNIFTY20OCT2239900PE,BANKNIFTY,20OCT2022,3990000.000000,25,OPTIDX,NFO,5.000000
152,40049,BANKNIFTY13OCT2238300CE,BANKNIFTY,13OCT2022,3830000.000000,25,OPTIDX,NFO,5.000000
153,60452,BANKNIFTY24NOV2235000CE,BANKNIFTY,24NOV2022,3500000.000000,25,OPTIDX,NFO,5.000000
154,36893,BANKNIFTY29SEP2240400PE,BANKNIFTY,29SEP2022,4040000.000000,25,OPTIDX,NFO,5.000000
155,39940,BANKNIFTY13OCT2236600PE,BANKNIFTY,13OCT2022,3660000.000000,25,OPTIDX,NFO,5.000000
156,37147,BANKNIFTY06OCT2237300PE,BANKNIFTY,06OCT2022,3730000.000000,25,OPTIDX,NFO,5.000000
157,60488,BANKNIFTY24NOV2236500PE,BANKNIFTY,24NOV2022,3650000.000000,25,OPTIDX,NFO,5.000000
158,40424,BANKNIFTY13OCT2243700CE,BANKNIFTY,13OCT2022,4370000.000000,25,OPTIDX,NFO,5.000000
159,39758,BANKNIFTY29SEP2245000PE,BANKNIFTY,29SEP2022,4500000.000000,25,OPTIDX,NFO,5.000000
160,40214,BANKNIFTY13OCT2240600PE,BANKNIFTY,13OCT2022,4060000.000000,25,OPTIDX,NFO,5.000000
161,38700,BANKNIFTY29SEP2241600PE,BANKNIFTY,29SEP2022,4160000.000000,25,OPTIDX,NFO,5.000000
162,57043,BANKNIFTY27OCT2233900CE,BANKNIFTY,27OCT2022,3390000.000000,25,OPTIDX,NFO,5.000000
163,57149,BANKNIFTY27OCT2238100CE,BANKNIFTY,27OCT2022,3810000.000000,25,OPTIDX,NFO,5.000000
164,56192,BANKNIFTY29SEP2233500CE,BANKNIFTY,29SEP2022,3350000.000000,25,OPTIDX,NFO,5.000000
165,60508,BANKNIFTY24NOV2237100PE,BANKNIFTY,24NOV2022,3710000.000000,25,OPTIDX,NFO,5.000000
166,56314,BANKNIFTY30MAR2348000CE,BANKNIFTY,30MAR2023,4800000.000000,25,OPTIDX,NFO,5.000000
167,60664,BANKNIFTY24NOV2240000PE,BANKNIFTY,24NOV2022,4000000.000000,25,OPTIDX,NFO,5.000000
168,53716,BANKNIFTY20OCT2238900PE,BANKNIFTY,20OCT2022,3890000.000000,25,OPTIDX,NFO,5.000000
169,37106,BANKNIFTY06OCT2236500PE,BANKNIFTY,06OCT2022,3650000.000000,25,OPTIDX,NFO,5.000000
