Datetime,Open,High,Low,Close,Volume,fisher 20,fisher 10,RSI 16,RSI 21,MACD macd line,MACD signal line,ret
2021-05-12 12:00:00+05:30,32582.80078,32600.09961,32544.75,32570.25,0,0.772378319,1.347294557,50.58383003,48.65602319,-2.790306256,-13.41815844,0
2021-05-12 12:05:00+05:30,32570.05078,32655.80078,32569.30078,32641.84961,0,1.258885371,1.785583181,58.99409693,55.92942092,4.814829975,-9.332910609,0
2021-05-12 12:10:00+05:30,32645.09961,32664.55078,32627.94922,32658.34961,0,1.733434417,2.225178796,60.64070421,57.38998986,11.94909069,-4.676530329,0
2021-05-12 12:15:00+05:30,32657.94922,32668.19922,32625.15039,32631.30078,0,2.191615456,2.659182162,56.66211017,54.29278972,15.35022836,-0.375622452,0
2021-05-12 12:20:00+05:30,32630.80078,32661.69922,32630.09961,32647.5,0,2.621191253,3.053198876,58.4054273,55.7930232,19.06370513,3.738414646,0
2021-05-12 12:25:00+05:30,32649.19922,32706.59961,32645.44922,32701.44922,0,3.046614794,3.458218858,63.60607407,60.34455287,25.85783398,8.365813674,0
2021-05-12 12:30:00+05:30,32702.09961,32702.09961,32654.65039,32657.55078,0,3.467259288,3.86695007,57.37922946,55.46542594,27.52540303,12.33747184,0
2021-05-12 12:35:00+05:30,32656.65039,32667.19922,32623.94922,32666.09961,0,3.132876719,2.967018868,58.22867192,56.18973964,29.17015508,15.80151257,0
2021-05-12 12:40:00+05:30,32659.80078,32674.59961,32608.84961,32614.30078,0,2.738995157,2.207869838,51.58405129,50.92075559,26.14170351,17.91719161,0
2021-05-12 12:45:00+05:30,32610.40039,32635.40039,32604.19922,32621.55078,0,2.290097552,1.501462061,52.39507212,51.58791713,24.02986047,19.16215261,0
2021-05-12 12:50:00+05:30,32620.5,32634.19922,32601.25,32623.05078,0,1.928486358,0.721677099,52.57040967,51.7304611,22.21695444,19.78204659,0
2021-05-12 12:55:00+05:30,32621.55078,32635.5,32581.94922,32608.84961,0,1.615767657,-0.007682395,50.68517422,50.25938723,19.44295346,19.71343695,0
2021-05-12 13:00:00+05:30,32608.25,32637.40039,32606.69922,32618,0,1.393313886,-0.477215036,51.87141141,51.19830549,17.75846912,19.31880353,0
2021-05-12 13:05:00+05:30,32617.55078,32654.30078,32615,32644.34961,0,1.284947776,-0.637649872,55.18274231,53.8332404,18.28578019,19.11066306,0
