,price_in,time_in,type,price_out,time_out,profit
HEIDELBERG,265.5,2021-07-21 04:01:44,short,265.5,2021-07-21 10:31:17,0.0
TCS,3205.8,2021-07-21 04:01:45,short,3205.8,2021-07-21 10:31:18,0.0
RSYSTEMS,182.2,2021-07-21 04:01:45,short,182.2,2021-07-21 10:31:19,0.0
TALBROAUTO,322.2,2021-07-21 04:01:45,short,322.2,2021-07-21 10:31:19,0.0
SANGHVIMOV,192.95,2021-07-21 04:01:45,short,192.95,2021-07-21 10:31:19,0.0
PITTIENG,152.35,2021-07-21 04:01:45,short,152.35,2021-07-21 10:31:19,0.0
JSWENERGY,201.55,2021-07-21 04:01:45,long,201.55,2021-07-21 10:31:19,0.0
IMFA,648.15,2021-07-21 04:01:46,long,648.15,2021-07-21 10:31:19,0.0
MGL,1131.8,2021-07-21 04:01:46,short,1131.8,2021-07-21 10:31:20,0.0
