,price_in,price_out,order,stock,profit
0,4290.25,4246.9501953125,long,DIVISLAB.NS,-1.0092606418623624
1,4270.0,4223.9501953125,long,DIVISLAB.NS,-1.0784497584894615
2,4216.0,4246.85009765625,short,DIVISLAB.NS,-0.7264230417097967
3,4276.0,4243.5498046875,long,DIVISLAB.NS,-0.7588913777478952
4,4259.7998046875,4245.39990234375,long,DIVISLAB.NS,-0.33804176261767727
5,4260.75,4348.0,long,DIVISLAB.NS,2.0477615443290498
6,4355.14990234375,4345.9501953125,long,DIVISLAB.NS,-0.21123743700071318
7,5750.9501953125,5750.35009765625,long,BAJFINANCE.NS,-0.010434756620551664
8,5716.2998046875,5700.75,short,BAJFINANCE.NS,0.27276770052186117
9,5796.39990234375,5916.89990234375,long,BAJFINANCE.NS,2.078876579086207
10,5924.0,6042.5498046875,long,BAJFINANCE.NS,2.0011783370611074
11,6061.75,6194.0,long,BAJFINANCE.NS,2.1817132016331917
12,6199.5,6134.0,long,BAJFINANCE.NS,-1.0565368174852812
13,6167.64990234375,6096.2998046875,long,BAJFINANCE.NS,-1.1568441592175402
14,6118.9501953125,6115.0,long,BAJFINANCE.NS,-0.06455674889339838
15,725.0999755859375,717.5999755859375,long,JSWSTEEL.NS,-1.0343401258480824
16,711.25,709.5999755859375,short,JSWSTEEL.NS,0.23252881494253527
17,709.5499877929688,710.25,short,JSWSTEEL.NS,-0.09855856487592396
18,708.25,694.0,short,JSWSTEEL.NS,2.053314121037464
19,692.75,700.0499877929688,short,JSWSTEEL.NS,-1.0427809328278472
20,700.75,707.7999877929688,short,JSWSTEEL.NS,-0.9960423727827005
21,708.5,708.8499755859375,short,JSWSTEEL.NS,-0.0493723069748587
22,713.6500244140625,706.5,long,JSWSTEEL.NS,-1.0018950703368894
23,719.7000122070312,712.4500122070312,long,JSWSTEEL.NS,-1.0073641624330614
24,719.5,732.75,long,JSWSTEEL.NS,1.841556636553162
